"sex" "race" "grade" "totnom" "school_code"
1 1 10 8 1
1 1 9 6 1
1 3 9 10 1
2 2 10 2 1
1 2 11 0 1
1 1 10 10 1
2 2 12 2 1
2 1 10 7 1
1 1 10 10 1
2 1 10 9 1
2 2 11 7 1
2 1 9 10 1
1 1 12 10 1
1 1 11 0 1
2 1 9 10 1
2 2 9 10 1
2 1 12 10 1
2 1 10 10 1
2 2 9 5 1
1 2 10 10 1
2 2 9 10 1
2 2 10 9 1
2 1 11 9 1
2 1 11 8 1
1 2 11 10 1
0 1 9 9 1
1 2 11 0 1
1 2 12 10 1
2 2 11 8 1
2 3 11 6 1
1 1 11 10 1
1 2 10 0 1
2 2 10 10 1
1 2 9 3 1
2 1 9 9 1
2 0 9 10 1
1 2 9 8 1
1 1 10 10 1
2 1 12 9 1
1 1 12 9 1
2 2 10 10 1
2 1 11 5 1
2 2 11 7 1
1 1 11 7 1
1 2 9 5 1
1 2 11 5 1
1 2 9 0 1
1 2 10 2 1
2 1 10 10 1
1 1 11 10 1
2 2 10 0 1
2 1 10 10 1
2 1 10 8 1
2 1 10 4 1
2 1 10 10 1
2 3 11 9 1
2 1 10 4 1
1 1 10 9 1
2 1 10 10 1
2 1 9 10 1
1 2 9 0 1
2 1 11 5 1
1 1 10 10 1
1 1 9 5 1
2 1 10 10 1
0 0 0 0 1
2 1 10 6 1
2 2 10 8 1
1 3 0 0 1
1 1 9 10 1
1 1 9 5 1
1 1 9 10 1
2 1 9 9 1
2 1 12 5 1
1 1 10 0 1
2 1 10 6 1
0 2 9 0 1
1 1 10 10 1
2 2 9 10 1
2 2 10 10 1
1 1 9 3 1
1 2 12 10 1
2 1 11 9 1
1 1 10 1 1
2 1 10 10 1
1 1 10 10 1
2 1 11 10 1
1 1 10 10 1
1 2 11 5 1
1 1 10 5 1
2 2 10 10 1
2 1 12 7 1
2 1 9 10 1
1 2 9 9 1
2 1 9 10 1
2 2 12 10 1
2 2 10 10 1
1 1 10 9 1
1 2 12 0 1
2 1 11 10 1
2 5 9 0 1
1 2 10 10 1
2 1 12 0 1
2 1 11 10 1
1 1 12 10 1
1 1 11 10 1
2 2 9 1 1
1 1 11 9 1
1 1 10 10 1
1 1 10 8 1
2 2 10 10 1
1 2 10 3 1
1 2 11 0 1
2 2 12 10 1
1 3 9 0 1
1 2 10 10 1
1 2 12 9 1
1 1 9 10 1
1 1 9 10 1
1 2 10 5 1
1 1 10 10 1
2 1 12 10 1
1 1 11 4 1
1 1 9 10 1
2 2 11 2 1
2 1 10 10 1
1 1 12 6 1
2 1 12 8 1
2 1 10 0 1
2 1 9 5 1
1 1 12 7 1
1 1 9 9 1
2 3 11 9 1
2 1 10 10 1
2 1 9 8 1
1 3 11 8 1
2 1 9 0 1
1 1 9 3 1
2 1 11 10 1
1 1 9 10 1
1 1 11 2 1
2 1 12 5 1
1 1 11 5 1
2 2 10 0 1
1 2 9 0 1
2 2 9 9 1
1 1 12 10 1
2 2 11 10 1
2 2 9 8 1
2 1 12 8 1
2 1 10 10 1
1 1 12 10 1
2 1 9 10 1
1 2 9 10 1
2 1 11 8 1
2 1 11 5 1
1 1 9 10 1
2 2 10 8 1
2 2 12 0 1
1 2 9 0 1
2 0 10 5 1
2 2 10 8 1
2 2 9 9 1
2 1 9 10 1
2 1 12 10 1
2 1 9 10 1
1 2 9 5 1
1 1 11 10 1
2 1 9 0 1
2 1 10 10 1
1 1 11 10 1
2 1 9 10 1
0 2 11 10 1
1 2 10 8 1
2 2 11 6 1
1 2 9 1 1
1 1 0 10 1
2 1 11 10 1
1 1 10 10 1
2 3 9 10 1
1 5 11 10 1
2 2 11 10 1
1 1 9 8 1
1 2 9 0 1
2 1 12 10 1
1 1 12 7 1
1 1 12 5 1
1 3 0 2 1
1 1 12 7 1
2 1 9 10 1
1 2 11 0 1
2 2 12 5 1
1 2 11 10 1
2 2 10 7 1
